station,longitude,latitude
13880000,-64.384,-6.541
14110000,-66.851,1.215
14230000,-67.595,1.074
14250000,-67.313,0.372
14260000,-69.126,0.477
14280001,-68.538,0.130
14300000,-69.786,0.248
14330000,-66.797,-0.192
14420000,-64.829,-0.491
14495000,-61.037,3.446
14515000,-60.569,3.209
14550000,-60.529,4.168
14680001,-61.441,2.876
14710000,-61.122,1.820
15030000,-59.329,-3.147
15050000,-59.354,-15.215
15120001,-59.960,-15.007
15250000,-65.349,-10.793
15320002,-65.367,-9.705
15430000,-63.068,-9.926
15431000,-62.985,-9.887
15432000,-63.288,-9.759
15550000,-63.711,-8.801
15558000,-61.193,-11.686
15560000,-61.936,-10.873
15580000,-62.055,-8.932
15630000,-63.016,-7.478
15700000,-61.303,-5.794
15750000,-59.465,-10.170
15800000,-60.592,-7.706
15830000,-60.647,-7.208
15910000,-59.056,-6.787
16700000,-55.958,2.226
17050001,-55.513,-1.921
17090000,-54.873,-1.502
17093000,-58.338,-11.358
17120000,-57.425,-11.536
17200000,-55.335,-13.557
17280000,-55.703,-11.652
17340000,-55.569,-10.113
17345000,-54.905,-9.359
17350000,-54.887,-9.817
17730000,-55.953,-4.276
18200000,-54.397,-1.782
18250000,-53.559,-3.677
18280000,-54.659,1.218
18420000,-54.447,-13.141
18460000,-51.985,-6.740
18650000,-54.523,-5.650
18850000,-52.163,-3.227
19100000,-52.579,-0.554
19150000,-52.568,-0.571
20050000,-48.675,-14.979
20250000,-49.553,-15.275
21500000,-46.837,-13.763
21850000,-47.198,-12.417
22680000,-47.472,-9.994
22700000,-47.674,-9.962
22900000,-47.932,-9.309
23100000,-48.110,-8.390
23250000,-47.312,-7.708
23300000,-47.481,-7.337
23600000,-47.390,-6.289
23700000,-47.463,-5.789
24050000,-53.217,-17.301
24200000,-52.548,-16.201
24500000,-53.549,-16.078
24700000,-52.228,-15.891
24750000,-51.470,-16.303
24780000,-51.817,-16.430
24800000,-51.852,-15.890
24850000,-51.829,-15.737
24900000,-50.997,-16.513
24950000,-51.357,-15.935
25130000,-50.706,-15.537
25200000,-51.084,-14.915
25700000,-50.803,-13.690
25950000,-50.588,-13.211
26050000,-53.053,-15.249
26100000,-52.355,-14.672
26300000,-50.963,-12.293
26350000,-50.660,-11.618
27500000,-49.249,-8.273
28150000,-48.612,-7.146
28300000,-48.550,-6.401
28850000,-48.143,-5.648
29050000,-49.136,-5.327
29100000,-49.220,-5.488
29700000,-49.663,-3.757
30300000,-52.016,0.901
30400000,-51.439,0.711
31700000,-47.764,-2.509
32450002,-46.593,-1.735
32620000,-46.316,-1.800
32740000,-45.948,-2.056
32830000,-45.667,-2.945
33025000,-46.934,-4.692
33170000,-45.778,-4.033
33190000,-45.465,-3.660
33205000,-45.982,-5.767
33250000,-45.245,-5.501
33260000,-44.963,-5.102
33270000,-44.929,-5.419
33281000,-44.611,-4.571
33290000,-44.765,-4.221
33321000,-46.145,-5.818
33330000,-46.239,-5.613
33380000,-45.218,-3.775
33420000,-44.361,-6.371
33450000,-44.709,-6.066
33460000,-44.343,-6.013
33480000,-44.248,-6.021
33520000,-43.586,-5.706
33530000,-43.884,-5.337
33550000,-43.367,-4.865
33590000,-43.875,-4.459
33620000,-43.934,-4.466
33630000,-44.130,-4.125
33680000,-44.374,-3.623
33730000,-43.703,-3.577
33760000,-43.527,-3.335
33780000,-43.902,-3.462
34020000,-45.926,-9.113
34060000,-45.256,-7.565
34090000,-44.614,-7.391
34130000,-46.036,-7.536
34170000,-44.814,-7.081
34251000,-44.211,-8.792
34270000,-43.649,-7.247
34770000,-42.214,-5.666
34940000,-42.228,-3.904
34980000,-41.976,-3.724
35260000,-40.382,-3.911
36045000,-39.962,-6.646
36160000,-39.292,-6.373
36250000,-38.985,-7.301
36290000,-38.868,-6.407
36390000,-38.191,-5.223
36580000,-38.447,-5.122
37380000,-37.924,-6.963
37410000,-37.797,-6.726
37470000,-37.355,-6.377
37515000,-36.783,-6.594
38170000,-35.418,-5.621
38485000,-35.315,-6.063
38650000,-35.529,-6.605
38830000,-36.505,-7.721
38850000,-36.434,-7.397
38860000,-35.999,-7.527
38895000,-35.048,-7.129
39084010,-35.233,-7.754
39185000,-35.079,-7.980
39360000,-35.366,-8.280
39540000,-35.916,-8.497
39560000,-35.577,-8.682
39770000,-35.860,-9.467
39980000,-36.304,-10.031
40070000,-45.485,-19.773
40100000,-45.279,-19.280
41650002,-44.194,-18.672
41818000,-44.226,-18.310
41990000,-44.712,-17.595
42210000,-45.078,-16.657
42395000,-46.431,-17.255
42690001,-46.018,-17.030
42980000,-45.383,-16.908
43200000,-45.067,-16.376
43429998,-46.119,-15.918
43670000,-45.742,-16.153
43880000,-45.416,-16.283
44200000,-44.899,-15.967
44250000,-44.768,-15.483
44290002,-44.407,-15.602
44500000,-43.931,-14.757
44540000,-44.092,-14.652
44670000,-43.675,-15.343
45210000,-44.411,-14.280
45260000,-44.153,-14.261
45298000,-43.762,-14.306
45480000,-43.434,-13.259
45910001,-44.199,-13.401
45960001,-43.910,-13.294
46035000,-43.380,-12.870
46105000,-43.226,-12.693
46150000,-43.226,-12.182
46360000,-43.284,-11.558
46550000,-45.010,-12.152
46610000,-44.886,-11.975
46650000,-44.502,-11.723
46675000,-44.155,-11.613
46790000,-45.197,-11.053
46830000,-44.536,-11.018
46870000,-43.948,-11.238
46902000,-43.830,-11.351
48020000,-40.504,-9.404
48290000,-39.824,-8.811
48590000,-39.245,-8.627
49330000,-37.756,-9.628
49370000,-37.446,-9.752
49660000,-36.983,-9.980
49705000,-36.824,-10.210
50191000,-37.347,-10.947
50250000,-37.976,-11.194
50290000,-37.568,-11.540
50420000,-40.470,-11.208
50465000,-39.633,-10.973
50520000,-38.836,-11.064
50540000,-38.513,-11.098
50595000,-37.804,-11.733
50620000,-38.348,-11.782
50660000,-37.754,-12.053
50720000,-38.793,-12.331
50730000,-38.764,-12.236
50740000,-38.642,-12.307
51120000,-41.322,-12.841
51140000,-41.329,-12.491
51170000,-41.206,-12.500
51190000,-41.328,-12.756
51230000,-41.064,-12.936
51240000,-40.959,-12.986
51280000,-40.214,-12.762
51330000,-39.848,-12.516
51430000,-39.788,-11.470
51440000,-39.387,-11.806
51560000,-39.031,-13.034
51795000,-39.080,-13.365
54010005,-43.207,-17.314
54110002,-42.918,-16.593
54150000,-42.486,-16.679
54165000,-42.583,-16.193
54195000,-42.310,-16.618
54230000,-42.995,-17.579
54260000,-42.818,-17.278
54300000,-42.597,-17.220
54390000,-42.347,-16.861
54500000,-42.079,-16.851
54580000,-41.503,-16.570
54590000,-41.499,-16.689
54710000,-41.014,-16.427
54770000,-40.739,-16.120
54780000,-40.305,-16.135
54950000,-39.425,-16.014
55340000,-39.545,-17.046
55360000,-39.981,-17.186
55370000,-39.774,-17.252
55380000,-39.623,-17.250
55460000,-40.221,-17.375
55490000,-39.644,-17.512
55510000,-39.664,-17.798
55520001,-41.492,-17.596
55560000,-41.249,-17.488
55610000,-41.122,-17.739
55630000,-40.762,-17.704
55660000,-40.676,-17.320
55699998,-40.382,-17.842
55790000,-41.112,-18.045
55850000,-40.336,-18.564
55900000,-40.915,-18.755
55920000,-40.415,-18.700
55960000,-40.092,-18.643
56028000,-43.301,-20.688
56055000,-43.242,-20.848
56065000,-43.098,-20.912
56075000,-43.088,-20.671
56085000,-42.923,-20.723
56090000,-43.001,-20.715
56240000,-43.182,-20.390
56335001,-43.139,-20.362
56385000,-42.673,-20.700
56415000,-42.649,-20.226
56484998,-42.440,-20.103
56539000,-42.477,-19.777
56570000,-42.446,-19.710
56610000,-43.173,-19.932
56640000,-43.457,-19.970
56775000,-43.019,-19.232
56800000,-43.083,-18.895
56825000,-42.423,-19.190
56845000,-42.713,-18.895
56846000,-42.360,-18.952
56850000,-41.951,-18.883
56860000,-42.603,-18.363
56870000,-42.455,-18.202
56891900,-41.918,-18.575
56920000,-41.642,-18.973
